18.06.2014 16:18:12 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 4
18.06.2014 16:18:12 [main] INFO  by.boika.electrical.main.Main  - 5
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - begin to blow
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - begin to blow
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 100
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 300
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 1300
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 1309
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - 1409
18.06.2014 16:18:38 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:21:04 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER begin to blow
18.06.2014 16:21:04 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER begin to blow
18.06.2014 16:21:04 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:21:04 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:21:21 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:21:46 [main] INFO  by.boika.electrical.main.Main  - 1409
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER Philips HXC37 begin to blow
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.model.AbstractElectricalAppliance  - HAIRDRYER SONY HSY55 begin to blow
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.functionality.ControlAppliances  - All appliances is work
18.06.2014 16:28:37 [main] INFO  by.boika.electrical.main.Main  - 1409
